user,device,plug_time,unplug_time
maha,usb_5,2023-01-01 17:43:00,2023-01-01 18:00:00
rahul,usb_5,2023-01-01 18:50:00,2023-01-01 19:11:00
sandhana,usb_4,2023-01-02 15:05:00,2023-01-02 16:58:00
jeeva,usb_2,2023-01-02 10:23:00,2023-01-02 11:37:00
bharani,usb_2,2023-01-02 16:27:00,2023-01-02 17:43:00
karthi,usb_1,2023-01-02 08:52:00,2023-01-02 09:56:00
thangakumar,usb_3,2023-01-03 18:10:00,2023-01-03 18:15:00
abimanyu,usb_4,2023-01-03 12:38:00,2023-01-03 13:15:00
balaji,usb_3,2023-01-03 18:13:00,2023-01-03 19:32:00
jeeva,usb_3,2023-01-03 08:10:00,2023-01-03 09:49:00
anuja,usb_5,2023-01-03 09:19:00,2023-01-03 09:35:00
balaji,usb_1,2023-01-03 10:46:00,2023-01-03 12:02:00
maha,usb_4,2023-01-03 11:39:00,2023-01-03 12:48:00
nandhakumar,usb_3,2023-01-03 18:16:00,2023-01-03 19:57:00
karthi,usb_3,2023-01-04 11:42:00,2023-01-04 12:28:00
nandhakumar,usb_2,2023-01-04 15:38:00,2023-01-04 16:25:00
user1,usb_2,2023-01-04 18:59:00,2023-01-04 19:04:00
thangakumar,usb_4,2023-01-04 08:57:00,2023-01-04 09:03:00
bharani,usb_4,2023-01-04 16:57:00,2023-01-04 18:31:00
udhaya,usb_4,2023-01-04 16:05:00,2023-01-04 17:50:00
abishek,usb_5,2023-01-04 08:57:00,2023-01-04 10:48:00
karthi,usb_1,2023-01-05 13:52:00,2023-01-05 14:45:00
thangakumar,usb_3,2023-01-05 14:11:00,2023-01-05 16:03:00
user1,usb_1,2023-01-05 15:23:00,2023-01-05 15:52:00
karthi,usb_1,2023-01-05 11:47:00,2023-01-05 11:54:00
maha,usb_3,2023-01-05 11:05:00,2023-01-05 12:54:00
thangakumar,usb_3,2023-01-05 11:14:00,2023-01-05 12:22:00
dhamu,usb_1,2023-01-05 12:31:00,2023-01-05 14:31:00
thangakumar,usb_2,2023-01-05 08:12:00,2023-01-05 10:02:00
balaji,usb_1,2023-01-06 12:36:00,2023-01-06 13:45:00
udhaya,usb_2,2023-01-06 16:12:00,2023-01-06 17:41:00
sandhana,usb_5,2023-01-06 17:11:00,2023-01-06 17:24:00
sandhana,usb_2,2023-01-06 09:08:00,2023-01-06 09:46:00
sandhana,usb_2,2023-01-06 16:46:00,2023-01-06 18:31:00
maha,usb_2,2023-01-06 18:01:00,2023-01-06 19:34:00
anuja,usb_5,2023-01-06 12:43:00,2023-01-06 13:59:00
user1,usb_4,2023-01-07 18:43:00,2023-01-07 20:11:00
abimanyu,usb_3,2023-01-07 14:54:00,2023-01-07 15:51:00
maha,usb_1,2023-01-07 18:33:00,2023-01-07 19:37:00
udhaya,usb_3,2023-01-07 16:48:00,2023-01-07 16:58:00
rahul,usb_1,2023-01-07 12:58:00,2023-01-07 13:56:00
karthi,usb_3,2023-01-08 08:25:00,2023-01-08 08:54:00
nandhakumar,usb_1,2023-01-08 17:51:00,2023-01-08 17:59:00
rahul,usb_4,2023-01-08 09:58:00,2023-01-08 10:34:00
bharathkumar,usb_2,2023-01-08 13:19:00,2023-01-08 13:32:00
arun,usb_1,2023-01-08 15:27:00,2023-01-08 17:15:00
user1,usb_5,2023-01-08 18:59:00,2023-01-08 19:46:00
maha,usb_2,2023-01-09 09:30:00,2023-01-09 10:05:00
nandhakumar,usb_1,2023-01-09 13:33:00,2023-01-09 15:19:00
rahul,usb_1,2023-01-09 17:39:00,2023-01-09 18:40:00
arun,usb_4,2023-01-09 17:07:00,2023-01-09 17:22:00
abimanyu,usb_1,2023-01-09 14:20:00,2023-01-09 16:18:00
abishek,usb_2,2023-01-09 08:58:00,2023-01-09 10:45:00
karthi,usb_1,2023-01-09 12:39:00,2023-01-09 14:04:00
priya,usb_1,2023-01-09 09:43:00,2023-01-09 09:55:00
abimanyu,usb_3,2023-01-10 14:25:00,2023-01-10 14:42:00
thangakumar,usb_4,2023-01-10 11:55:00,2023-01-10 13:16:00
thangakumar,usb_1,2023-01-10 15:24:00,2023-01-10 16:28:00
priya,usb_5,2023-01-10 17:06:00,2023-01-10 17:54:00
user1,usb_4,2023-01-10 16:21:00,2023-01-10 17:41:00
bharathkumar,usb_1,2023-01-10 09:00:00,2023-01-10 10:21:00
abishek,usb_5,2023-01-11 11:57:00,2023-01-11 13:15:00
ajeeth,usb_5,2023-01-11 12:22:00,2023-01-11 13:20:00
udhaya,usb_5,2023-01-11 15:11:00,2023-01-11 15:47:00
ajeeth,usb_1,2023-01-11 08:08:00,2023-01-11 08:52:00
sandhana,usb_4,2023-01-11 16:41:00,2023-01-11 18:22:00
dhamu,usb_3,2023-01-11 17:56:00,2023-01-11 19:10:00
ajeeth,usb_2,2023-01-11 15:19:00,2023-01-11 16:41:00
sanjay,usb_3,2023-01-12 08:33:00,2023-01-12 09:53:00
ajeeth,usb_1,2023-01-12 11:32:00,2023-01-12 13:21:00
anuja,usb_1,2023-01-12 14:22:00,2023-01-12 14:52:00
bharathkumar,usb_2,2023-01-12 09:21:00,2023-01-12 09:50:00
udhaya,usb_4,2023-01-13 17:44:00,2023-01-13 18:31:00
sandhana,usb_5,2023-01-13 13:39:00,2023-01-13 14:22:00
priya,usb_3,2023-01-13 10:06:00,2023-01-13 11:09:00
abimanyu,usb_4,2023-01-13 11:58:00,2023-01-13 12:03:00
rahul,usb_2,2023-01-13 15:39:00,2023-01-13 16:11:00
rahul,usb_4,2023-01-13 13:51:00,2023-01-13 15:30:00
balaji,usb_2,2023-01-13 14:11:00,2023-01-13 16:01:00
dhamu,usb_1,2023-01-14 09:22:00,2023-01-14 09:30:00
anuja,usb_1,2023-01-14 10:18:00,2023-01-14 11:19:00
sandhana,usb_3,2023-01-15 08:01:00,2023-01-15 08:31:00
bharathkumar,usb_3,2023-01-15 10:14:00,2023-01-15 12:12:00
maha,usb_2,2023-01-15 13:54:00,2023-01-15 15:09:00
bharani,usb_2,2023-01-16 08:11:00,2023-01-16 10:03:00
maha,usb_1,2023-01-16 08:53:00,2023-01-16 10:24:00
ajeeth,usb_4,2023-01-16 18:50:00,2023-01-16 20:48:00
nandhakumar,usb_2,2023-01-17 12:29:00,2023-01-17 13:04:00
dhamu,usb_3,2023-01-17 18:10:00,2023-01-17 19:22:00
thangakumar,usb_4,2023-01-18 09:07:00,2023-01-18 09:30:00
ajeeth,usb_2,2023-01-18 11:34:00,2023-01-18 12:27:00
dhamu,usb_3,2023-01-18 17:27:00,2023-01-18 18:53:00
rahul,usb_1,2023-01-18 17:37:00,2023-01-18 18:06:00
anuja,usb_3,2023-01-18 10:20:00,2023-01-18 10:56:00
abimanyu,usb_3,2023-01-18 10:54:00,2023-01-18 12:04:00
sandhana,usb_4,2023-01-18 11:46:00,2023-01-18 12:01:00
udhaya,usb_5,2023-01-18 09:10:00,2023-01-18 10:20:00
jeeva,usb_3,2023-01-19 15:33:00,2023-01-19 16:37:00
bharani,usb_3,2023-01-19 13:33:00,2023-01-19 15:06:00
udhaya,usb_4,2023-01-19 15:17:00,2023-01-19 16:36:00
balaji,usb_5,2023-01-19 18:02:00,2023-01-19 18:33:00
rahul,usb_2,2023-01-19 15:55:00,2023-01-19 16:30:00
bharathkumar,usb_3,2023-01-20 14:56:00,2023-01-20 15:49:00
sandhana,usb_2,2023-01-20 13:16:00,2023-01-20 14:31:00
abishek,usb_2,2023-01-20 09:18:00,2023-01-20 10:19:00
jeeva,usb_3,2023-01-20 11:37:00,2023-01-20 11:47:00
karthi,usb_5,2023-01-20 17:21:00,2023-01-20 18:20:00
karthi,usb_4,2023-01-21 14:23:00,2023-01-21 16:10:00
udhaya,usb_3,2023-01-21 12:24:00,2023-01-21 12:32:00
bharani,usb_4,2023-01-21 11:16:00,2023-01-21 12:43:00
abishek,usb_3,2023-01-21 09:18:00,2023-01-21 11:10:00
jeeva,usb_5,2023-01-21 16:41:00,2023-01-21 16:56:00
maha,usb_2,2023-01-22 09:07:00,2023-01-22 09:21:00
dhamu,usb_1,2023-01-22 16:12:00,2023-01-22 16:59:00
bharathkumar,usb_3,2023-01-22 12:19:00,2023-01-22 13:59:00
maha,usb_2,2023-01-22 17:08:00,2023-01-22 19:02:00
anuja,usb_3,2023-01-22 08:49:00,2023-01-22 09:32:00
sanjay,usb_3,2023-01-22 14:25:00,2023-01-22 16:15:00
sandhana,usb_1,2023-01-22 15:41:00,2023-01-22 16:51:00
ajeeth,usb_4,2023-01-22 11:14:00,2023-01-22 12:51:00
bharathkumar,usb_4,2023-01-23 11:33:00,2023-01-23 12:53:00
anuja,usb_4,2023-01-23 15:21:00,2023-01-23 17:07:00
abishek,usb_3,2023-01-23 11:27:00,2023-01-23 13:10:00
priya,usb_2,2023-01-23 15:28:00,2023-01-23 17:22:00
anuja,usb_1,2023-01-23 13:08:00,2023-01-23 14:26:00
ajeeth,usb_3,2023-01-23 08:31:00,2023-01-23 10:19:00
dhamu,usb_3,2023-01-23 11:26:00,2023-01-23 12:25:00
balaji,usb_5,2023-01-24 12:20:00,2023-01-24 13:40:00
user1,usb_5,2023-01-24 08:59:00,2023-01-24 09:21:00
ajeeth,usb_3,2023-01-24 17:40:00,2023-01-24 19:27:00
thangakumar,usb_5,2023-01-24 17:55:00,2023-01-24 18:50:00
balaji,usb_2,2023-01-24 14:04:00,2023-01-24 15:17:00
balaji,usb_2,2023-01-24 15:06:00,2023-01-24 15:53:00
sandhana,usb_4,2023-01-24 18:57:00,2023-01-24 19:40:00
bharani,usb_1,2023-01-25 18:35:00,2023-01-25 19:02:00
abimanyu,usb_5,2023-01-25 15:01:00,2023-01-25 15:29:00
abishek,usb_4,2023-01-26 12:13:00,2023-01-26 12:47:00
sanjay,usb_5,2023-01-26 09:29:00,2023-01-26 09:41:00
dhamu,usb_5,2023-01-26 08:10:00,2023-01-26 08:56:00
priya,usb_4,2023-01-27 10:07:00,2023-01-27 10:28:00
anuja,usb_4,2023-01-27 15:47:00,2023-01-27 16:00:00
balaji,usb_2,2023-01-27 10:55:00,2023-01-27 11:26:00
sanjay,usb_4,2023-01-27 18:30:00,2023-01-27 18:55:00
thangakumar,usb_5,2023-01-27 12:37:00,2023-01-27 13:07:00
jeeva,usb_4,2023-01-27 12:12:00,2023-01-27 12:17:00
ajeeth,usb_4,2023-01-27 09:52:00,2023-01-27 10:48:00
thangakumar,usb_2,2023-01-27 16:21:00,2023-01-27 17:38:00
karthi,usb_4,2023-01-28 17:02:00,2023-01-28 18:41:00
abishek,usb_3,2023-01-28 18:56:00,2023-01-28 19:59:00
dhamu,usb_3,2023-01-28 14:39:00,2023-01-28 16:29:00
bharani,usb_4,2023-01-28 11:11:00,2023-01-28 13:11:00
